company,Date,Open,High,Low,Close,Adj Close,Volume
TCS,3/1/2021,2926,2965,2901.800049,2924.199951,2754.088379,3265871
TCS,3/2/2021,2960,3025,2948,3006.350098,2831.459717,3306469
TCS,3/3/2021,3035,3064,2996.899902,3059.100098,2881.140869,3509857
TCS,3/4/2021,3023,3081.449951,3016.050049,3049.699951,2872.287354,3916760
TCS,3/5/2021,3016.100098,3063.199951,2996.600098,3008.050049,2833.060791,3203686
TCS,3/8/2021,3016,3033,2996,3006.949951,2832.023926,2003125
TCS,3/9/2021,3006.949951,3066.899902,2992.100098,3050.949951,2873.464844,1942397
TCS,3/10/2021,3075,3093.199951,3060,3070.949951,2892.301025,3053778
TCS,3/12/2021,3075,3117,3041.350098,3057.949951,2880.057373,2938317
TCS,3/15/2021,3041,3099,3041,3066.149902,2887.780518,3097083
TCS,3/16/2021,3060,3141,3060,3110.050049,2929.127197,4894756
TCS,3/17/2021,3105,3155,3085.300049,3112.949951,2931.858154,3838390
TCS,3/18/2021,3125.949951,3146.449951,2987.050049,3036.5,2859.855713,3656306
TCS,3/19/2021,3030,3099,3005,3050.199951,2872.758301,5776626
TCS,3/22/2021,3048.699951,3139.449951,3018.649902,3129.649902,2947.586426,2821646
TCS,3/23/2021,3140,3169,3122.850098,3142.600098,2959.783203,3305973
TCS,3/24/2021,3111.199951,3152.300049,3111.149902,3121.100098,2939.53418,2207104
TCS,3/25/2021,3112.199951,3130.850098,3050,3064.850098,2886.556152,3179786
TCS,3/26/2021,3090.649902,3118,3043.050049,3066.800049,2888.392578,3697370
TCS,3/30/2021,3083,3188.449951,3060.899902,3158.550049,2974.805176,4694008
TCS,3/31/2021,3155,3205,3132,3177.850098,2992.982666,3530069
TCS,4/1/2021,3191.100098,3215,3145,3165,2980.879883,4285076
TCS,4/5/2021,3171,3263,3151,3238.899902,3050.480713,5317862
TCS,4/6/2021,3275,3275,3230,3264.699951,3074.779785,2291562
TCS,4/7/2021,3259,3277.550049,3234.800049,3271.399902,3081.090088,2491268
TCS,4/8/2021,3270,3335,3266.050049,3317.350098,3124.367188,2578118
TCS,4/9/2021,3354,3354.350098,3308,3322.25,3128.982178,2911129
TCS,4/12/2021,3322.25,3338.100098,3213.199951,3246.550049,3057.686035,3791828
TCS,4/13/2021,3214,3214,3073.050049,3104.050049,2923.475586,8654596
TCS,4/15/2021,3160.300049,3237.25,3087.449951,3218.949951,3031.69165,6062760
TCS,4/16/2021,3229,3247,3182.600098,3195.149902,3009.275879,3224657
TCS,4/19/2021,3169,3189,3135.100098,3161.800049,2977.866211,2679106
TCS,4/20/2021,3225,3225.350098,3126.350098,3144.550049,2961.619873,3141893
TCS,4/22/2021,3148,3148,3105.25,3118.800049,2937.367676,1988980
TCS,4/23/2021,3105,3119,3091.050049,3109.5,2928.608398,1615309
TCS,4/26/2021,3102.050049,3153,3088.050049,3100.800049,2920.415039,2490260
TCS,4/27/2021,3106,3136.100098,3103,3132,2949.799805,1471417
TCS,4/28/2021,3149.949951,3151,3112,3124.100098,2942.359375,1639037
TCS,4/29/2021,3145.600098,3157.350098,3105.5,3115.25,2934.02417,1621395
TCS,4/30/2021,3099,3132.050049,3020,3035.649902,2859.054688,3072305
TCS,5/3/2021,3024.899902,3055,3004,3037,2860.326416,1545831
TCS,5/4/2021,3062.800049,3090,3035,3049.75,2872.334473,1990777
TCS,5/5/2021,3070,3099.399902,3052.399902,3095.699951,2915.611572,1939289
TCS,5/6/2021,3105.5,3134,3074,3111.449951,2930.445313,1791671
TCS,5/7/2021,3133,3159.850098,3111.800049,3132.899902,2950.647461,1912540
TCS,5/10/2021,3145.949951,3164.199951,3125,3145.5,2962.514648,2137153
TCS,5/11/2021,3125,3128.100098,3091.149902,3122.600098,2940.947021,2415625
TCS,5/12/2021,3120,3120,3070.600098,3087.600098,2907.983154,1978558
TCS,5/14/2021,3098.5,3098.5,3040,3051.5,2873.98291,2043935
TCS,5/17/2021,3055,3075.199951,3036,3069.75,2891.171143,2890462
TCS,5/18/2021,3100,3124,3078,3088.800049,2909.112793,2098538
TCS,5/19/2021,3084,3118,3067.100098,3082,2902.708496,1986041
TCS,5/20/2021,3067.100098,3088.800049,3052.100098,3060,2881.988525,2329027
TCS,5/21/2021,3061,3088.199951,3055.100098,3080.5,2901.295654,1685566
